DATE TIME,CAPCODE,AGENCY,BRIGADE,MESSAGE
2024-09-05 00:26,0106611,FRNSW,66 Rhodes,FRINC TYPE: AFA TURNOUT: P66 INC: 157438-05092024
2024-09-04 23:46,0147411,FRNSW,474 Unanderra,FRINC TYPE: STRUCTURE FIRE 2ND ALARM TURNOUT: P474 INC: 157428-04092024
2024-09-04 23:46,0121011,FRNSW,210 Balgownie,FRINC TYPE: STRUCTURE FIRE 2ND ALARM TURNOUT: P210 INC: 157428-04092024
2024-09-04 22:59,1110021,Central Coast,Central Coast Group 3,"CCG2 - 24-122463 - Boat or marine fire - VESSEL FIRE - 53 KULLAROO RD,SUMMERLAND POINT,CENTRAL COAST COUNCIL (NSW),2259 - [151.56185,-33.13362]"
2024-09-04 22:55,1110477,Central Coast,Gwandalan Brigade,"CCGWAND1 - 24-122463 - Boat or marine fire - VESSEL FIRE - 53 KULLAROO RD,SUMMERLAND POINT,CENTRAL COAST COUNCIL (NSW),2259 - [151.56185,-33.13362]"
2024-09-04 22:55,0821176,Central Coast,Wallarah Brigade,"CCBTA - 24-122463 - Boat or marine fire - VESSEL FIRE - 53 KULLAROO RD,SUMMERLAND POINT,CENTRAL COAST COUNCIL (NSW),2259 - [151.56185,-33.13362]"
2024-09-04 22:55,1110573,Central Coast,Lake Munmorah Brigade,"CCLAKMUP - 24-122463 - Boat or marine fire - VESSEL FIRE - 53 KULLAROO RD,SUMMERLAND POINT,CENTRAL COAST COUNCIL (NSW),2259 - [151.56185,-33.13362]"
2024-09-04 22:55,1110573,Central Coast,Lake Munmorah Brigade,"CCLAKMU1 - 24-122463 - Boat or marine fire - VESSEL FIRE - 53 KULLAROO RD,SUMMERLAND POINT,CENTRAL COAST COUNCIL (NSW),2259 - [151.56185,-33.13362]"
2024-09-04 22:55,1110477,Central Coast,Gwandalan Brigade,"CCGWANDP - 24-122463 - Boat or marine fire - VESSEL FIRE - 53 KULLAROO RD,SUMMERLAND POINT,CENTRAL COAST COUNCIL (NSW),2259 - [151.56185,-33.13362]"
2024-09-04 22:55,0821176,Central Coast,Wallarah Brigade,"CCWALLA - 24-122463 - Boat or marine fire - VESSEL FIRE - 53 KULLAROO RD,SUMMERLAND POINT,CENTRAL COAST COUNCIL (NSW),2259 - [151.56185,-33.13362]"
2024-09-04 22:53,0129211,FRNSW,292 Doyalson 2 way,FRINC TYPE: BOAT FIRE TURNOUT: P292 INC: 157418-04092024
2024-09-04 22:03,0109011,FRNSW,90 Menai,FRINC TYPE: GAS CYLINDER FIRE TURNOUT: P90 INC: 157403-04092024
2024-09-04 21:56,0140211,FRNSW,402 Salmander Bay,FRINC TYPE: AFA TURNOUT: T402 INC: 157400-04092024
2024-09-04 21:55,0143211,FRNSW,432 Raymond Terrace,FRINC TYPE: HOUSE FIRE TURNOUT: P432 INC: 157401-04092024
2024-09-04 21:54,0010864,Lower Hunter,Raymond Terrace Brigade,"LHRAYTE7 - 24-122462 - Structure/building/house fire - STRUCTURE FIRE - 15 WINDSOR ST,RAYMOND TERRACE,PORT STEPHENS COUNCIL (NSW),2324 - [151.749174,-32.769086]"
2024-09-04 21:53,0145411,FRNSW,454 Tarro,FRINC TYPE: HOUSE FIRE TURNOUT: CP454 INC: 157401-04092024
2024-09-04 21:50,0143211,FRNSW,432 Raymond Terrace,FRINC TYPE: AFA TURNOUT: P432 INC: 157400-04092024
2024-09-04 21:50,0140211,FRNSW,402 Salmander Bay,FRINC TYPE: AFA TURNOUT: RP402 INC: 157400-04092024
2024-09-04 21:46,1110413,Central Coast,Tuggerah Brigade,24-122461 CCTUGGEP Stop Message // WYONG RD PACIFIC HWY TUGGERAH - FRNSW OS STOP ON RFS
2024-09-04 21:44,1110413,Central Coast,Tuggerah Brigade,"CCTUGGEP - 24-122461 - MVA - WYONG RD,PACIFIC HWY,TUGGERAH,CENTRAL COAST COUNCIL (NSW),2259 - [151.418448,-33.30894]"
2024-09-04 21:17,0135711,FRNSW,357 Lambton,"FRINC TYPE: AFA TURNOUT: RP357,P357B INC: 157389-04092024"
2024-09-04 21:13,0104811,FRNSW,48 Mortdale,FRINC TYPE: AFA TURNOUT: CP48 INC: 157383-04092024
2024-09-04 20:54,0134011,FRNSW,340 Umina,FRINC TYPE: MVA TURNOUT: AP340 INC: 157378-04092024
2024-09-04 19:56,0106611,FRNSW,66 Rhodes,FRINC TYPE: AFA TURNOUT: P66 INC: 157352-04092024
2024-09-04 19:52,1310160,Lower Hunter,Clarence Town CFR,"LHCFR39 - 24-122457 - Community first response - CFR CALL - 61 GREY ST,CLARENCE TOWN,DUNGOG COUNCIL (NSW),2321 - [151.77913,-32.58455]"
2024-09-04 19:44,0150011,FRNSW,500 Tingira Heights,FRINC TYPE: ASSIST PUBLIC TURNOUT: P500 INC: 157347-04092024
2024-09-04 19:20,0145411,FRNSW,454 Tarro,FRINC TYPE: ASSIST AMBULANCE TURNOUT: CP454 INC: 157329-04092024
2024-09-04 19:07,1310184,Lower Hunter,Quorrobolong Brigade,"LHQUORR1 - 24-122344 - Hazard reduction - SALMON HR,986 CONGEWAI RD,CONGEWAI,CESSNOCK COUNCIL (NSW),2325 - [151.274566651,-32.9925880439999]"
2024-09-04 19:00,0107811,FRNSW,78 Ropes Crossing,FRINC TYPE: UNIT FIRE TURNOUT: RP78 INC: 157320-04092024
2024-09-04 18:54,1310104,Lower Hunter,Central Cessnock Brigade,"LHCENTR1 - 24-122344 - Hazard reduction - SALMON HR,986 CONGEWAI RD,CONGEWAI,CESSNOCK COUNCIL (NSW),2325 - [151.274566651,-32.9925880439999]"
2024-09-04 18:53,0290040,Macarthur,Kentlyn Brigade,"CMKENTL1 - 24-122453 - Grass - FIRECALL - 2 CORAL AV,KENTLYN,CAMPBELLTOWN COUNCIL (NSW),2560 - [150.85733,-34.06324]"
2024-09-04 18:53,0280872,Macarthur,Unknown??,"CMKENTL1 - 24-122453 - Grass - FIRECALL - 2 CORAL AV,KENTLYN,CAMPBELLTOWN COUNCIL (NSW),2560 - [150.85733,-34.06324]"
2024-09-04 18:53,0280872,Macarthur,Unknown??,"CMDO - 24-122453 - Grass - FIRECALL - 2 CORAL AV,KENTLYN,CAMPBELLTOWN COUNCIL (NSW),2560 - [150.85733,-34.06324]"
2024-09-04 18:53,0290040,Macarthur,Kentlyn Brigade,"CMKENTL - 24-122453 - Grass - FIRECALL - 2 CORAL AV,KENTLYN,CAMPBELLTOWN COUNCIL (NSW),2560 - [150.85733,-34.06324]"
2024-09-04 18:53,0280872,Macarthur,Unknown??,"CMKENTL - 24-122453 - Grass - FIRECALL - 2 CORAL AV,KENTLYN,CAMPBELLTOWN COUNCIL (NSW),2560 - [150.85733,-34.06324]"
2024-09-04 18:38,0950056,Hunter Valley,Bulga Group Officers,"HVOPS21 - 24-122451 - BBQ fire/Bonfire/Yard fire - FIRECALL - MCMULLINS RD,BIRCHGROVE CL,BRANXTON,SINGLETON COUNCIL (NSW),2335 - [151.36739,-32.63837]"
2024-09-04 18:38,1170048,Hunter Valley,Bulga Brigade,"HVOPS21 - 24-122451 - BBQ fire/Bonfire/Yard fire - FIRECALL - MCMULLINS RD,BIRCHGROVE CL,BRANXTON,SINGLETON COUNCIL (NSW),2335 - [151.36739,-32.63837]"
2024-09-04 18:38,1170032,Hunter Valley,Hunter Valley Ops Staff,"HVOPS21 - 24-122451 - BBQ fire/Bonfire/Yard fire - FIRECALL - MCMULLINS RD,BIRCHGROVE CL,BRANXTON,SINGLETON COUNCIL (NSW),2335 - [151.36739,-32.63837]"
2024-09-04 18:38,1170040,Hunter Valley,Hunter Valley Staff,"HVOPS21 - 24-122451 - BBQ fire/Bonfire/Yard fire - FIRECALL - MCMULLINS RD,BIRCHGROVE CL,BRANXTON,SINGLETON COUNCIL (NSW),2335 - [151.36739,-32.63837]"
2024-09-04 18:38,0950048,Hunter Valley,Kayuga Brigade,"HVOPS21 - 24-122451 - BBQ fire/Bonfire/Yard fire - FIRECALL - MCMULLINS RD,BIRCHGROVE CL,BRANXTON,SINGLETON COUNCIL (NSW),2335 - [151.36739,-32.63837]"
2024-09-04 18:38,0950056,Hunter Valley,Bulga Group Officers,"HVDO - 24-122451 - BBQ fire/Bonfire/Yard fire - FIRECALL - MCMULLINS RD,BIRCHGROVE CL,BRANXTON,SINGLETON COUNCIL (NSW),2335 - [151.36739,-32.63837]"
2024-09-04 18:38,1170048,Hunter Valley,Bulga Brigade,"HVDO - 24-122451 - BBQ fire/Bonfire/Yard fire - FIRECALL - MCMULLINS RD,BIRCHGROVE CL,BRANXTON,SINGLETON COUNCIL (NSW),2335 - [151.36739,-32.63837]"
2024-09-04 18:38,1170032,Hunter Valley,Hunter Valley Ops Staff,"HVDO - 24-122451 - BBQ fire/Bonfire/Yard fire - FIRECALL - MCMULLINS RD,BIRCHGROVE CL,BRANXTON,SINGLETON COUNCIL (NSW),2335 - [151.36739,-32.63837]"
2024-09-04 18:38,1170040,Hunter Valley,Hunter Valley Staff,"HVDO - 24-122451 - BBQ fire/Bonfire/Yard fire - FIRECALL - MCMULLINS RD,BIRCHGROVE CL,BRANXTON,SINGLETON COUNCIL (NSW),2335 - [151.36739,-32.63837]"
2024-09-04 18:38,0950048,Hunter Valley,Kayuga Brigade,"HVDO - 24-122451 - BBQ fire/Bonfire/Yard fire - FIRECALL - MCMULLINS RD,BIRCHGROVE CL,BRANXTON,SINGLETON COUNCIL (NSW),2335 - [151.36739,-32.63837]"
2024-09-04 18:38,1170112,Hunter Valley,Belford Brigade,"HVBELFO - 24-122451 - BBQ fire/Bonfire/Yard fire - FIRECALL - MCMULLINS RD,BIRCHGROVE CL,BRANXTON,SINGLETON COUNCIL (NSW),2335 - [151.36739,-32.63837]"
2024-09-04 18:25,0150911,FRNSW,509 Wyoming,FRINC TYPE: AFA TURNOUT: P509 INC: 157295-04092024
2024-09-04 18:24,0107811,FRNSW,78 Ropes Crossing,FRINC TYPE: MVA PERSONS TRAPPED TURNOUT: RP78 INC: 157290-04092024
2024-09-04 18:23,0109011,FRNSW,90 Menai,FRINC TYPE: MVA TURNOUT: CT90 INC: 157287-04092024
2024-09-04 18:22,0109011,FRNSW,90 Menai,FRINC TYPE: MVA TURNOUT: P90 INC: 157287-04092024
2024-09-04 18:18,0690504,Hawkesbury,Unknown???,"HW23 - 24-122445 - Grass - FIRECALL - OLD KURRAJONG RD,YARRAMUNDI LANE,RICHMOND,HAWKESBURY COUNCIL (NSW),2753 - [150.72738,-33.58991]"
2024-09-04 18:18,0690376,Hawkesbury,Kurrajong Brigade Captain,"HWKURRA1 - 24-122445 - Grass - FIRECALL - OLD KURRAJONG RD,YARRAMUNDI LANE,RICHMOND,HAWKESBURY COUNCIL (NSW),2753 - [150.72738,-33.58991]"
2024-09-04 18:18,0690640,Hawkesbury,Kurrajong Brigade,"HWKURRA1 - 24-122445 - Grass - FIRECALL - OLD KURRAJONG RD,YARRAMUNDI LANE,RICHMOND,HAWKESBURY COUNCIL (NSW),2753 - [150.72738,-33.58991]"
2024-09-04 18:18,0690128,Hawkesbury,Kurrajong Brigade,"HWKURRA1 - 24-122445 - Grass - FIRECALL - OLD KURRAJONG RD,YARRAMUNDI LANE,RICHMOND,HAWKESBURY COUNCIL (NSW),2753 - [150.72738,-33.58991]"
2024-09-04 18:18,0690504,Hawkesbury,Unknown???,"HWKURRA1 - 24-122445 - Grass - FIRECALL - OLD KURRAJONG RD,YARRAMUNDI LANE,RICHMOND,HAWKESBURY COUNCIL (NSW),2753 - [150.72738,-33.58991]"
2024-09-04 18:18,0690504,Hawkesbury,Unknown???,"HWDO - 24-122445 - Grass - FIRECALL - OLD KURRAJONG RD,YARRAMUNDI LANE,RICHMOND,HAWKESBURY COUNCIL (NSW),2753 - [150.72738,-33.58991]"
2024-09-04 18:18,0690208,Hawkesbury,Yarramundi Brigade,"HWYARRA - 24-122445 - Grass - FIRECALL - OLD KURRAJONG RD,YARRAMUNDI LANE,RICHMOND,HAWKESBURY COUNCIL (NSW),2753 - [150.72738,-33.58991]"
2024-09-04 18:18,0690448,Hawkesbury,Yarramundi Brigade Captain,"HWYARRA - 24-122445 - Grass - FIRECALL - OLD KURRAJONG RD,YARRAMUNDI LANE,RICHMOND,HAWKESBURY COUNCIL (NSW),2753 - [150.72738,-33.58991]"
2024-09-04 18:18,0690504,Hawkesbury,Unknown???,"HWYARRA - 24-122445 - Grass - FIRECALL - OLD KURRAJONG RD,YARRAMUNDI LANE,RICHMOND,HAWKESBURY COUNCIL (NSW),2753 - [150.72738,-33.58991]"
2024-09-04 18:18,0690720,Hawkesbury,Yarramundi Brigade,"HWYARRA - 24-122445 - Grass - FIRECALL - OLD KURRAJONG RD,YARRAMUNDI LANE,RICHMOND,HAWKESBURY COUNCIL (NSW),2753 - [150.72738,-33.58991]"
2024-09-04 18:14,0010648,Lower Hunter,Fingal Bay Brigade,"STOP MESSAGE - Resource Message Out LHFINBA - 24-122433 - Car fire - VEHICLE FIRE - BIG ROCKY TRL,NORTH SAMURAI TRL,FINGAL BAY,PORT STEPHENS COUNCIL (NSW),2315 - [15"
2024-09-04 18:14,0010688,Lower Hunter,Soldiers Point Brigade Captain,"STOP MESSAGE - Resource Message Out LHSOLPO1 - 24-122433 - Car fire - VEHICLE FIRE - BIG ROCKY TRL,NORTH SAMURAI TRL,FINGAL BAY,PORT STEPHENS COUNCIL (NSW),2315 - [1"
2024-09-04 18:14,0010696,Lower Hunter,Soldiers Point Brigade,"STOP MESSAGE - Resource Message Out LHSOLPO1 - 24-122433 - Car fire - VEHICLE FIRE - BIG ROCKY TRL,NORTH SAMURAI TRL,FINGAL BAY,PORT STEPHENS COUNCIL (NSW),2315 - [1"
2024-09-04 18:10,1110573,Central Coast,Lake Munmorah Brigade,"CCLAKMUP - 24-122442 - AFA - INCIDENT CALL - AFA0465050,LAKE MUNMORAH SHOPPING CENTRE,TALL TIMBERS RD,LAKE MUNMORAH,CENTRAL COAST COUNCIL (NSW),2259 - [151.558121,-3"
2024-09-04 18:10,1110573,Central Coast,Lake Munmorah Brigade,"CCLAKMU - 24-122442 - AFA - INCIDENT CALL - AFA0465050,LAKE MUNMORAH SHOPPING CENTRE,TALL TIMBERS RD,LAKE MUNMORAH,CENTRAL COAST COUNCIL (NSW),2259 - [151.558121,-33"
2024-09-04 18:10,1110573,Central Coast,Lake Munmorah Brigade,"CCLAKMU1 - 24-122442 - AFA - INCIDENT CALL - AFA0465050,LAKE MUNMORAH SHOPPING CENTRE,TALL TIMBERS RD,LAKE MUNMORAH,CENTRAL COAST COUNCIL (NSW),2259 - [151.558121,-3"
2024-09-04 18:09,0129211,FRNSW,292 Doyalson 2 way,FRINC TYPE: AFA TURNOUT: P292 INC: 157273-04092024
2024-09-04 18:06,0010688,Lower Hunter,Soldiers Point Brigade Captain,"LHSOLPO1 - 24-122433 - Car fire - VEHICLE FIRE - BIG ROCKY TRL,NORTH SAMURAI TRL,FINGAL BAY,PORT STEPHENS COUNCIL (NSW),2315 - [152.140213013,-32.760478973]"
2024-09-04 18:06,0010696,Lower Hunter,Soldiers Point Brigade,"LHSOLPO1 - 24-122433 - Car fire - VEHICLE FIRE - BIG ROCKY TRL,NORTH SAMURAI TRL,FINGAL BAY,PORT STEPHENS COUNCIL (NSW),2315 - [152.140213013,-32.760478973]"
2024-09-04 18:05,0106611,FRNSW,66 Rhodes,FRINC TYPE: AFA TURNOUT: P66 INC: 157264-04092024
2024-09-04 18:03,0089024,SES,Port Stephens SES,PORT STEPHENS DAILY TEST 18:02
2024-09-04 18:03,0125411,FRNSW,254 Cessnock,FRINC TYPE: UNKNOWN FIRE TURNOUT: P254A INC: 157259-04092024
2024-09-04 18:01,1310224,Lower Hunter,Thornton Brigade,"LHTHORN7 - 24-122437 - Grass - FIRECALL - SEAHAM RD,JARVIE CL,SEAHAM,PORT STEPHENS COUNCIL (NSW),2324 - [151.719793,-32.676225]"
2024-09-04 17:56,0699008,SES,Hawkesbury GLR,HAWKESBURY DAILY TEST 17:55
2024-09-04 17:53,0143211,FRNSW,432 Raymond Terrace,FRINC TYPE: CAR LEAKING FUEL TURNOUT: P432 INC: 157253-04092024
2024-09-04 17:51,0108811,FRNSW,88 Campbelltown,FRINC TYPE: MVA TURNOUT: CT88 INC: 157246-04092024
2024-09-04 17:44,0010720,Lower Hunter,Anna Bay Brigade,"LHANNBA7 - 24-122433 - Car fire - VEHICLE FIRE - BIG ROCKY TRL,NORTH SAMURAI TRL,FINGAL BAY,PORT STEPHENS COUNCIL (NSW),2315 - [152.14022,-32.76048]"
2024-09-04 17:44,0010720,Lower Hunter,Anna Bay Brigade,"LHANNBA1 - 24-122433 - Car fire - VEHICLE FIRE - BIG ROCKY TRL,NORTH SAMURAI TRL,FINGAL BAY,PORT STEPHENS COUNCIL (NSW),2315 - [152.14022,-32.76048]"
2024-09-04 17:44,0010648,Lower Hunter,Fingal Bay Brigade,"LHFINBA - 24-122433 - Car fire - VEHICLE FIRE - BIG ROCKY TRL,NORTH SAMURAI TRL,FINGAL BAY,PORT STEPHENS COUNCIL (NSW),2315 - [152.14022,-32.76048]"
2024-09-04 17:38,0108811,FRNSW,88 Campbelltown,FRINC TYPE: MVA TURNOUT: CP88 INC: 157246-04092024
2024-09-04 17:33,0147011,FRNSW,470 Toukley,FRINC TYPE: AFA TURNOUT: P470 INC: 157240-04092024
2024-09-04 17:33,0146011,FRNSW,460 The Entrance,FRINC TYPE: AFA TURNOUT: P460 INC: 157240-04092024
2024-09-04 17:28,0107811,FRNSW,78 Ropes Crossing,FRINC TYPE: MVA PERSONS TRAPPED TURNOUT: RP78 INC: 157236-04092024
2024-09-04 17:27,1310224,Lower Hunter,Thornton Brigade,"LHTHORN7 - 24-122428 - Smoke in vicinity - FIRECALL - 41 FOUR MILE CREEK RD,ASHTONFIELD,MAITLAND COUNCIL (NSW),2323 - [151.613651,-32.782893]"
2024-09-04 17:27,1310224,Lower Hunter,Thornton Brigade,"LHTHORNP - 24-122428 - Smoke in vicinity - FIRECALL - 41 FOUR MILE CREEK RD,ASHTONFIELD,MAITLAND COUNCIL (NSW),2323 - [151.613651,-32.782893]"
2024-09-04 17:27,1310224,Lower Hunter,Thornton Brigade,"LHTHORN - 24-122428 - Smoke in vicinity - FIRECALL - 41 FOUR MILE CREEK RD,ASHTONFIELD,MAITLAND COUNCIL (NSW),2323 - [151.613651,-32.782893]"
2024-09-04 16:59,0218000,SES,Blue Mountains,"General MTZBME 0046-3181 WILL GOODWIN, 529 GREAT WESTERN HIGHWAY, FAULCONBRIDGE, NSW. 0457505721 TREE DOWN, RESTING ON ANOTHER TREE AT FRONT O 04/09 16:58:47"
2024-09-04 16:43,0135711,FRNSW,357 Lambton,"FRINC TYPE: MVA PERSONS TRAPPED TURNOUT: RP357,TR357 INC: 157205-04092024"
2024-09-04 16:41,0122611,FRNSW,226 Blackheath,FRINC TYPE: HOUSE FIRE TURNOUT: P226 INC: 157201-04092024
2024-09-04 16:40,0149511,FRNSW,495 Wentwoth Falls,FRINC TYPE: HOUSE FIRE TURNOUT: P495 INC: 157200-04092024
2024-09-04 16:40,0136111,FRNSW,361 Leura,FRINC TYPE: HOUSE FIRE TURNOUT: P361 INC: 157200-04092024
2024-09-04 16:40,0134311,FRNSW,343 Katoomba,"FRINC TYPE: HOUSE FIRE TURNOUT: RP343B,RP343A INC: 157200-04092024"
2024-09-04 16:28,1060128,Cumberland,Cumberland FCO,"CMDO - 24-122421 - Smoke in vicinity - FIRECALL - LYSAGHT RD,APPIN,WOLLONDILLY COUNCIL (NSW),2560 - [150.808757,-34.1725459999]"
2024-09-04 16:27,0180042,Cumberland,Wallacia Brigade,"CMDO - 24-122421 - Smoke in vicinity - FIRECALL - LYSAGHT RD,APPIN,WOLLONDILLY COUNCIL (NSW),2560 - [150.808757,-34.1725459999]"
2024-09-04 16:27,0280872,Macarthur,Unknown??,"CMDO - 24-122421 - Smoke in vicinity - FIRECALL - LYSAGHT RD,APPIN,WOLLONDILLY COUNCIL (NSW),2560 - [150.808757,-34.1725459999]"
2024-09-04 16:25,0290048,Macarthur,Lynwood Park Brigade,"CMLYNPA1 - 24-122421 - Smoke in vicinity - FIRECALL - LYSAGHT RD,APPIN,WOLLONDILLY COUNCIL (NSW),2560 - [150.808757,-34.1725459999]"
2024-09-04 16:25,0280872,Macarthur,Unknown??,"CMLYNPA1 - 24-122421 - Smoke in vicinity - FIRECALL - LYSAGHT RD,APPIN,WOLLONDILLY COUNCIL (NSW),2560 - [150.808757,-34.1725459999]"
2024-09-04 16:25,0290056,Macarthur,Wedderburn Brigade,"CMWEDDE1B - 24-122421 - Smoke in vicinity - FIRECALL - LYSAGHT RD,APPIN,WOLLONDILLY COUNCIL (NSW),2560 - [150.808757,-34.1725459999]"
2024-09-04 16:25,0280872,Macarthur,Unknown??,"CMWEDDE1B - 24-122421 - Smoke in vicinity - FIRECALL - LYSAGHT RD,APPIN,WOLLONDILLY COUNCIL (NSW),2560 - [150.808757,-34.1725459999]"
2024-09-04 16:22,0290056,Macarthur,Wedderburn Brigade,"CMWEDDE1A - 24-122421 - Smoke in vicinity - FIRECALL - LYSAGHT RD,APPIN,WOLLONDILLY COUNCIL (NSW),2560 - [150.808757,-34.1725459999]"
